data1,data2
A926676,426995
A965976,466295
A976844,477163
A936480,436801
A914245,414568
A943281,443604
A943777,444100
A972465,472788
A994156,494479
A930658,430982
A932511,432835
A946455,446779
A972536,472860
A915084,415409
A917119,417444
A970145,470470
A979759,480084
A931846,432172
A929753,430080
A949985,450312
A951590,451917
A968225,468552
A994997,495324
A919356,419684
A927607,427935
A932021,432349
A935838,436166
A947328,447656
A952241,452569
A971998,472326
A977746,478074
A979755,480083
A983928,484256
A907826,408155
A913022,413351
A916161,416490
A919085,419414
A946855,447184
A954790,455119
A957743,458072
A960378,460707
A905990,406320
A908177,408507
A926133,426463
A947367,447697
A912199,412530
A956927,457258
A980206,480537
A916514,416846
A922197,422529
A930414,430746
A969159,469491
A975236,475568
A975862,476194
A977251,477583
A915112,415445
A926417,426750
A947718,448051
A995726,496059
A919746,420080
A975043,475377
A912947,413282
A918434,418769
A929848,430183
A957887,458222
A960465,460800
A920247,420583
A920705,421041
A967770,468106
A986353,486689
A906618,406955
A917083,417420
A922367,422704
A923324,423661
A925981,426318
A952140,452477
A914036,414374
A914278,414616
A927408,427746
A932886,433224
A945106,445444
A952225,452563
A956814,457152
A966348,466686
A936807,437146
A953395,453734
A979967,480306
A985506,485845
A924539,424879
A931165,431505
A920188,420529
A930137,430478
A957858,458199
A966418,466759
A975074,475415
A904817,405159
A919555,419897
A933649,433991
A942455,442797
A958047,458389
A910977,411320
A957116,457459
A968469,468812
A969186,469529
A977216,477559
A978194,478537
A982037,482380
A986854,487197
A987049,487392
A932860,433204
A943458,443803
A913436,413782
A924043,424389
A926126,426472
A954329,454675
A965657,466003
A972440,472786
A984047,484393
A905633,405980
A956223,456570
A967729,468076
A976548,476895
A993547,493894
A994695,495042
A916551,416899
A932466,432814
A979216,479564
A991984,492332
A925870,426219
A933094,433443
A965562,465911
A913251,413601
A914232,414582
A938886,439236
A943439,443789
A949250,449600
A974204,474554
A979263,479613
A991775,492125
A995603,495953
A969220,469571
A993133,493484
A916913,417265
A938246,438598
A941670,442022
A948521,448873
A951445,451797
A963917,464269
A978603,478955
A996310,496662
A979512,479865
A918934,419288
A938259,438613
A943674,444028
A957940,458294
A966165,466519
A979870,480224
A980143,480497
A930590,430945
A955517,455872
A976008,476363
A981610,481965
A991635,491990
A997327,497682
A998811,499166
A969480,469836
A940805,441162
A975449,475806
A921923,422281
A932243,432601
A994535,494893
A997230,497588
A939633,439992
A978382,478741
A918119,418479
A953566,453926
A980931,481291
A988598,488958
A926164,426525
A951938,452299
A956603,456964
A984667,485028
A991181,491542
A996980,497341
A997396,497757
A997499,497860
A920562,420924
A924476,424838
A924941,425303
A934746,435108
A951879,452241
A956014,456376
A962741,463103
A964255,464617
A968476,468838
A974400,474762
A980261,480623
A904810,405173
A958023,458386
A985789,486152
A914723,415087
A948888,449252
A958223,458587
A988703,489067
A991001,491365
A906343,406708
A917708,418073
A951247,451612
A953238,453603
A954009,454374
A907806,408172
A916106,416472
A918566,418932
A923889,424255
A927308,427674
A931361,431727
A950287,450653
A958149,458515
A973355,473721
A907497,407864
A916474,416841
A930944,431311
A944703,445070
A969691,470058
A971823,472190
A987709,488076
A908209,408577
A915083,415451
A926092,426460
A927017,427385
A932724,433092
A956894,457262
A965467,465835
A967311,467679
A915760,416129
A943787,444156
A952431,452800
A955933,456302
A963212,463581
A980667,481036
A987904,488273
A997632,498001
A909588,409958
A964871,465241
A965280,465650
A944410,444781
A961212,461583
A967647,468018
A927540,427912
A947049,447421
A947151,447523
A955142,455514
A973910,474282
A920267,420640
A933049,433422
A951773,452146
A956265,456638
A967074,467447
A977559,477932
A908593,408967
A919731,420105
A954264,454638
A959932,460306
A961664,462038
A970530,470904
A906315,406690
A911535,411910
A919562,419937
A920210,420585
A928937,429312
A944512,444887
A986517,486892
A997028,497403
A912574,412950
A928335,428711
A944954,445330
A953422,453798
A909699,410076
A933583,433960
A939102,439479
A988168,488545
A926190,426568
A935823,436201
A946176,446554
A971878,472256
A995032,495410
